3-PANa,37,284,45,"[D0, S, D1, O, D2, D3, O, S, S, S, O, O, O]","[L2, L4, L3, L1, ECU4, ECU2, ECU1, ECU3]"
3-PANa,144,413,415,"[O, D0, D1, O, S, S, D2, S, S, S, D3, O, O]","[L3, L4, L2, L1, ECU1, ECU4, ECU3, ECU2]"
3-PANa,275,243,26787,"[O, S, S, O, S, S, D0, S, S, S, D1, D2, D3]","[L2, L4, L1, L3, ECU1, ECU3, ECU4, ECU2]"
3-PANa,220,477,1152,"[O, S, D0, O, S, S, D1, S, S, D2, O, D3, O]","[L4, L1, L3, L2, ECU4, ECU2, ECU3, ECU1]"
3-PANa,196,251,6681,"[O, S, D0, O, D1, D2, O, S, S, S, O, O, D3]","[L2, L4, L1, L3, ECU2, ECU4, ECU3, ECU1]"
3-PANa,278,258,573,"[S, D0, D1, O, D2, S, O, S, D3, S, O, O, O]","[L2, L4, L1, L3, ECU4, ECU1, ECU2, ECU3]"
3-PANa,301,182,45,"[S, D0, D1, O, S, S, O, S, S, S, D2, D3, O]","[L2, L1, L4, L3, ECU3, ECU2, ECU1, ECU4]"
3-PANa,380,279,1087,"[S, S, S, D0, D1, S, O, D2, D3, S, O, O, O]","[L2, L4, L3, L1, ECU3, ECU2, ECU4, ECU1]"
3-PANa,51,25,87,"[D0, S, D1, O, S, S, D2, S, D3, S, O, O, O]","[L1, L2, L4, L3, ECU1, ECU2, ECU4, ECU3]"
3-PANa,202,513,3928,"[O, S, D0, O, D1, S, O, S, S, D2, O, D3, O]","[L4, L2, L3, L1, ECU2, ECU3, ECU4, ECU1]"
3-PANa,412,190,45,"[S, S, S, O, D0, D1, O, S, D2, D3, O, O, O]","[L2, L1, L4, L3, ECU4, ECU3, ECU1, ECU2]"
3-PANa,213,60,16136,"[O, S, D0, O, S, D1, O, S, S, S, D2, O, D3]","[L1, L3, L2, L4, ECU3, ECU1, ECU2, ECU4]"
3-PANa,367,114,2411,"[S, S, D0, O, S, S, D1, S, D2, S, D3, O, O]","[L1, L4, L2, L3, ECU4, ECU1, ECU2, ECU3]"
3-PANa,280,302,635,"[S, D0, D1, O, D2, S, O, S, S, S, D3, O, O]","[L3, L1, L2, L4, ECU3, ECU2, ECU1, ECU4]"
3-PANa,149,343,45,"[O, D0, D1, O, S, S, O, D2, S, S, O, O, D3]","[L3, L2, L1, L4, ECU2, ECU1, ECU4, ECU3]"
3-PANa,3,452,45,"[D0, D1, D2, O, S, S, O, D3, S, S, O, O, O]","[L4, L1, L2, L3, ECU4, ECU2, ECU1, ECU3]"
3-PANa,190,141,2851,"[O, D0, S, O, S, S, O, S, S, S, D1, D2, D3]","[L1, L4, L3, L2, ECU4, ECU2, ECU3, ECU1]"
3-PANa,34,269,543,"[D0, D1, S, O, S, S, O, S, S, S, D2, D3, O]","[L2, L4, L3, L1, ECU1, ECU4, ECU3, ECU2]"
3-PANa,6,17,5728,"[D0, D1, D2, O, S, S, O, S, S, S, D3, O, O]","[L1, L2, L3, L4, ECU3, ECU4, ECU2, ECU1]"
3-PANa,177,523,3795,"[O, D0, S, O, S, D1, O, S, S, S, D2, D3, O]","[L4, L2, L3, L1, ECU4, ECU1, ECU3, ECU2]"
3-PANa,273,428,2782,"[O, S, S, O, S, D0, O, S, S, S, D1, D2, D3]","[L3, L4, L2, L1, ECU4, ECU2, ECU1, ECU3]"
3-PANa,267,37,45,"[O, S, S, O, D0, D1, O, S, S, S, D2, D3, O]","[L1, L2, L4, L3, ECU3, ECU1, ECU4, ECU2]"
3-PANa,72,508,193,"[D0, S, S, D1, S, D2, O, D3, S, S, O, O, O]","[L4, L2, L3, L1, ECU1, ECU4, ECU2, ECU3]"
3-PANa,367,280,2645,"[S, S, D0, O, S, S, D1, S, D2, S, D3, O, O]","[L2, L4, L3, L1, ECU3, ECU4, ECU1, ECU2]"
3-PANa,326,311,984,"[S, D0, S, O, S, D1, O, S, S, S, D2, O, D3]","[L3, L1, L2, L4, ECU4, ECU3, ECU2, ECU1]"
3-PANa,228,567,1198,"[O, S, S, D0, D1, D2, O, S, S, D3, O, O, O]","[L4, L3, L2, L1, ECU3, ECU2, ECU4, ECU1]"
3-PANa,77,357,1049,"[D0, S, S, D1, S, D2, O, S, S, S, O, O, D3]","[L3, L2, L1, L4, ECU4, ECU2, ECU3, ECU1]"
3-PANa,56,188,45,"[D0, S, D1, O, S, S, O, D2, D3, S, O, O, O]","[L2, L1, L4, L3, ECU4, ECU2, ECU1, ECU3]"
3-PANa,2,119,1740,"[D0, D1, D2, O, S, S, D3, S, S, S, O, O, O]","[L1, L4, L2, L3, ECU4, ECU3, ECU2, ECU1]"
3-PANa,80,42,7783,"[D0, S, S, D1, S, S, D2, S, S, D3, O, O, O]","[L1, L2, L4, L3, ECU4, ECU1, ECU2, ECU3]"
3-PANa,378,571,45,"[S, S, S, D0, D1, D2, O, S, S, S, O, D3, O]","[L4, L3, L2, L1, ECU4, ECU1, ECU3, ECU2]"
3-PANa,387,27,1941,"[S, S, S, D0, D1, S, O, S, S, S, D2, O, D3]","[L1, L2, L4, L3, ECU1, ECU3, ECU4, ECU2]"
3-PANa,291,194,45,"[S, D0, D1, O, S, S, D2, S, S, D3, O, O, O]","[L2, L3, L1, L4, ECU1, ECU3, ECU2, ECU4]"
3-PANa,115,348,3971,"[D0, S, S, O, S, D1, O, S, S, S, D2, O, D3]","[L3, L2, L1, L4, ECU3, ECU1, ECU2, ECU4]"
