"K1,3a",69,7,645,"[S, D0, D1, D2, S, S, O, O, D3]","[L1, L2, L3, ECU2, ECU1, ECU4, ECU3]"
"K1,3a",2,364,147,"[D0, D1, D2, S, S, D3, O, O, O]","[L3, L2, L4, ECU1, ECU4, ECU2, ECU3]"
"K1,3a",38,351,401,"[D0, S, D1, D2, S, D3, O, O, O]","[L3, L2, L1, ECU3, ECU2, ECU4, ECU1]"
"K1,3a",12,77,547,"[D0, D1, O, S, S, S, D2, D3, O]","[L1, L3, L4, ECU1, ECU4, ECU3, ECU2]"
"K1,3a",19,245,110,"[D0, D1, S, S, D2, S, D3, O, O]","[L2, L4, L1, ECU1, ECU4, ECU3, ECU2]"
"K1,3a",39,555,883,"[D0, S, D1, D2, S, S, O, O, D3]","[L4, L3, L2, ECU1, ECU3, ECU4, ECU2]"
"K1,3a",69,478,2054,"[S, D0, D1, D2, S, S, O, O, D3]","[L4, L1, L3, ECU4, ECU3, ECU1, ECU2]"
"K1,3a",76,137,45,"[S, D0, O, D1, D2, D3, O, O, O]","[L1, L4, L3, ECU3, ECU4, ECU2, ECU1]"
"K1,3a",66,258,667,"[O, S, D0, S, S, S, D1, D2, D3]","[L2, L4, L1, ECU4, ECU1, ECU2, ECU3]"
"K1,3a",56,418,800,"[O, D0, D1, S, S, S, D2, D3, O]","[L3, L4, L2, ECU2, ECU4, ECU1, ECU3]"
"K1,3a",78,315,87,"[S, D0, S, D1, D2, D3, O, O, O]","[L3, L1, L4, ECU1, ECU3, ECU4, ECU2]"
"K1,3a",10,239,2763,"[D0, D1, O, S, D2, S, D3, O, O]","[L2, L3, L4, ECU4, ECU3, ECU2, ECU1]"
"K1,3a",51,307,107,"[O, D0, D1, D2, S, D3, O, O, O]","[L3, L1, L2, ECU4, ECU1, ECU3, ECU2]"
"K1,3a",73,98,2452,"[S, D0, D1, S, S, S, D2, D3, O]","[L1, L4, L2, ECU1, ECU3, ECU2, ECU4]"
"K1,3a",73,356,45,"[S, D0, D1, S, S, S, D2, D3, O]","[L3, L2, L1, ECU4, ECU2, ECU1, ECU3]"
