K3,2,216,45,"[D0, D1, O, D2, S, O, S, D3, O]","[L2, L3, L4, ECU1, ECU2, ECU3, ECU4]"
K3,1,274,803,"[D0, D1, O, D2, S, O, D3, S, O]","[L2, L4, L3, ECU2, ECU4, ECU1, ECU3]"
K3,8,26,45,"[D0, D1, O, S, S, D2, S, D3, O]","[L1, L2, L4, ECU1, ECU3, ECU2, ECU4]"
K3,26,223,2194,"[S, S, D0, D1, S, O, D2, D3, O]","[L2, L3, L4, ECU2, ECU1, ECU4, ECU3]"
K3,14,430,45,"[D0, S, O, D1, S, O, D2, D3, O]","[L3, L4, L2, ECU4, ECU3, ECU1, ECU2]"
K3,16,451,992,"[D0, S, O, S, S, D1, D2, D3, O]","[L4, L1, L2, ECU4, ECU1, ECU3, ECU2]"
K3,29,513,3983,"[S, S, O, D0, D1, O, D2, D3, O]","[L4, L2, L3, ECU2, ECU3, ECU4, ECU1]"
K3,24,84,45,"[S, S, D0, D1, D2, O, S, D3, O]","[L1, L3, L4, ECU3, ECU1, ECU2, ECU4]"
K3,9,230,1728,"[D0, D1, O, S, S, D2, S, S, D3]","[L2, L3, L4, ECU3, ECU2, ECU1, ECU4]"
K3,9,536,905,"[D0, D1, O, S, S, D2, S, S, D3]","[L4, L3, L1, ECU2, ECU3, ECU1, ECU4]"
K3,24,478,45,"[S, S, D0, D1, D2, O, S, D3, O]","[L4, L1, L3, ECU4, ECU3, ECU1, ECU2]"
K3,16,359,45,"[D0, S, O, S, S, D1, D2, D3, O]","[L3, L2, L1, ECU4, ECU3, ECU2, ECU1]"
K3,24,426,45,"[S, S, D0, D1, D2, O, S, D3, O]","[L3, L4, L2, ECU4, ECU1, ECU2, ECU3]"
K3,6,240,45,"[D0, D1, O, S, D2, O, S, S, D3]","[L2, L4, L1, ECU1, ECU2, ECU3, ECU4]"
K3,2,319,45,"[D0, D1, O, D2, S, O, S, D3, O]","[L3, L1, L4, ECU2, ECU1, ECU4, ECU3]"
